team,year,player_name,dob,batting_style,bowling_style,nationality
Bangladesh,2021,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2021,Shamim Hossain,,,,
Bangladesh,2021,Soumya Sarkar,1993-02-25,Left-handed,Medium seam,Bangladeshi
Bangladesh,2021,Mustafizur Rahman,1995-09-06,Left-handed,Fast seam,Bangladeshi
Bangladesh,2021,Nasum Ahmed,1994-12-05,Left-handed,Left-arm orthodox spin,
Bangladesh,2021,Rubel Hossain,1990-01-01,Right-handed,Fast seam,Bangladeshi
Bangladesh,2021,Shoriful Islam,2001-06-03,Left-handed,Fast seam,Bangladeshi
Bangladesh,2021,Taskin Ahmed,1995-04-03,Left-handed,Fast seam,BD
Bangladesh,2022,Litton Das,1994-10-13,Right-handed,Right-arm off spin,Bangladeshi
Bangladesh,2022,Mosaddek Hossain,1995-12-10,Right-handed,Off spin,Bangladeshi
Bangladesh,2022,Najmul Hossain Shanto,1998-08-25,Left-handed,Off spin,Bangladeshi
Bangladesh,2022,Nurul Hasan,1993-11-21,Right-handed,,Bangladeshi
Bangladesh,2022,Yasir Ali,1996-03-06,Right-handed,,Bangladeshi
Bangladesh,2022,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2022,Afif Hossain,1999-09-22,Left-handed,Off spin,Bangladeshi
Bangladesh,2022,Mehidy Hasan Miraz,,,,
Bangladesh,2022,Soumya Sarkar,1993-02-25,Left-handed,Medium seam,Bangladeshi
Bangladesh,2022,Ebadot Hossain,,,,
Bangladesh,2022,Hasan Mahmud,1999-10-12,Right-handed,Medium seam,Bangladeshi
Bangladesh,2022,Mustafizur Rahman,1995-09-06,Left-handed,Fast seam,Bangladeshi
Bangladesh,2022,Nasum Ahmed,1994-12-05,Left-handed,Left-arm orthodox spin,
Bangladesh,2022,Shoriful Islam,2001-06-03,Left-handed,Fast seam,Bangladeshi
Bangladesh,2022,Taskin Ahmed,1995-04-03,Left-handed,Fast seam,BD
Bangladesh,2024,Najmul Hossain Shanto,1998-08-25,Left-handed,Off spin,Bangladeshi
Bangladesh,2024,Jaker Ali,1998-02-22,Right-handed,,
Bangladesh,2024,Litton Das,1994-10-13,Right-handed,Right-arm off spin,Bangladeshi
Bangladesh,2024,Tanzid Hasan,2000-12-01,Left-handed,,
Bangladesh,2024,Towhid Hridoy,2000-12-04,Right-handed,Right-arm off break,
Bangladesh,2024,Mahedi Hasan,1994-12-12,Right-handed,Off spin,Bangladeshi
Bangladesh,2024,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2024,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2024,Soumya Sarkar,1993-02-25,Left-handed,Medium seam,Bangladeshi
Bangladesh,2024,Taskin Ahmed,1995-04-03,Left-handed,Fast seam,BD
Bangladesh,2024,Mustafizur Rahman,1995-09-06,Left-handed,Fast seam,Bangladeshi
Bangladesh,2024,Rishad Hossain,2002-07-15,Right-handed,Right-arm leg break,
Bangladesh,2024,Shoriful Islam,2001-06-03,Left-handed,Fast seam,Bangladeshi
Bangladesh,2024,Tanvir Islam,1996-10-25,Left-handed,Slow left-arm orthodox,
Bangladesh,2024,Tanzim Hasan Sakib,2002-10-20,Right-handed,Right-arm fast-medium,
Canada,2024,Navneet Dhaliwal,1988-10-10,Right-handed,Right-arm medium,
Canada,2024,Aaron Johnson,1991-03-16,Right-handed,,CA
Canada,2024,Shreyas Movva,1993-09-04,Right-handed,,
Canada,2024,Ravinderpal Singh,1988-10-14,Right-handed,Right-arm medium,CA
Canada,2024,Saad Bin Zafar,1986-11-10,Left-handed,Slow left-arm orthodox,CA
Canada,2024,Dilpreet Bajwa,2001-01-04,Right-handed,Right-arm off break,
Canada,2024,Junaid Siddiqui,1987-10-30,Left-handed,,Bangladeshi
Canada,2024,Nicholas Kirton,1998-05-06,Left-handed,Medium seam,CA
Canada,2024,Pargat Singh,1992-04-13,Right-handed,,CA
Canada,2024,Rayyan Pathan,1991-12-06,Right-handed,Right-arm medium,
Canada,2024,Nikhil Dutta,1994-10-13,Right-handed,,CA
Canada,2024,Jeremy Gordon,1987-01-20,Right-handed,,CA
Canada,2024,Dilon Heyliger,1989-10-21,Right-handed,Right-arm medium fast,
Canada,2024,Rishiv Joshi,2000-10-04,Right-handed,Left-arm medium-fast,
Canada,2024,Kaleem Sana,1994-01-01,Right-handed,Left-arm medium fast,CA
England,2007,Kevin Pietersen,1980-06-27,Right-handed,Off spin,English
England,2007,Matt Prior,1982-02-26,Right-handed,Wicket-keeper,English
England,2007,Owais Shah,,,,
England,2007,Vikram Solanki,,,,
England,2007,Luke Wright,1985-03-07,Left-handed,Right-arm medium,English
England,2007,Paul Collingwood,1976-05-26,Right-handed,Medium seam,English
England,2007,Andrew Flintoff,1977-12-06,Right-handed,Fast seam,English
England,2007,Darren Maddy,,,,
England,2007,Dimitri Mascarenhas,,,,
England,2007,Chris Schofield,,,,
England,2007,James Anderson,1982-07-30,Left-handed,Fast seam,English
England,2007,Stuart Broad,1986-06-24,Left-handed,Fast seam,English
England,2007,James Kirtley,,,,
England,2007,Jeremy Snape,,,,
England,2007,Chris Tremlett,1981-09-02,Right-handed,,English
England,2009,James Foster,,,,
England,2009,Rob Key,,,,
England,2009,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2009,Kevin Pietersen,1980-06-27,Right-handed,Off spin,English
England,2009,Owais Shah,,,,
England,2009,Luke Wright,1985-03-07,Left-handed,Right-arm medium,English
England,2009,Paul Collingwood,1976-05-26,Right-handed,Medium seam,English
England,2009,Ravi Bopara,1985-05-04,Right-handed,Right-arm medium,English
England,2009,Dimitri Mascarenhas,,,,
England,2009,Graham Napier,,,,
England,2009,James Anderson,1982-07-30,Left-handed,Fast seam,English
England,2009,Stuart Broad,1986-06-24,Left-handed,Fast seam,English
England,2009,Adil Rashid,1988-02-17,Right-handed,Leg spin,English
England,2009,Ryan Sidebottom,,,,
England,2009,Graeme Swann,1979-03-24,Right-handed,Off spin,English
England,2010,Craig Kieswetter,1987-11-28,Right-handed,Wicket-keeper,English
England,2010,Michael Lumb,1980-12-02,Right-handed,,English
England,2010,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2010,Kevin Pietersen,1980-06-27,Right-handed,Off spin,English
England,2010,Luke Wright,1985-03-07,Left-handed,Right-arm medium,English
England,2010,Paul Collingwood,1976-05-26,Right-handed,Medium seam,English
England,2010,Ravi Bopara,1985-05-04,Right-handed,Right-arm medium,English
England,2010,Tim Bresnan,1985-02-28,Right-handed,Right-arm fast-medium,English
England,2010,James Tredwell,1982-02-27,Left-handed,Right-arm off break,English
England,2010,Michael Yardy,1980-11-27,Right-handed,,English
England,2010,James Anderson,1982-07-30,Left-handed,Fast seam,English
England,2010,Stuart Broad,1986-06-24,Left-handed,Fast seam,English
England,2010,Ajmal Shahzad,1985-07-27,Right-handed,Right-arm fast-medium,English
England,2010,Ryan Sidebottom,,,,
England,2010,Graeme Swann,1979-03-24,Right-handed,Off spin,English
England,2012,Jonny Bairstow,1989-09-26,Right-handed,Medium seam,English
England,2012,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2012,Alex Hales,1989-01-03,Right-handed,Medium seam,English
England,2012,Craig Kieswetter,1987-11-28,Right-handed,Wicket-keeper,English
England,2012,Michael Lumb,1980-12-02,Right-handed,,English
England,2012,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2012,Luke Wright,1985-03-07,Left-handed,Right-arm medium,English
England,2012,Ravi Bopara,1985-05-04,Right-handed,Right-arm medium,English
England,2012,Tim Bresnan,1985-02-28,Right-handed,Right-arm fast-medium,English
England,2012,Samit Patel,1984-11-30,Right-handed,,English
England,2012,Stuart Broad,1986-06-24,Left-handed,Fast seam,English
England,2012,Danny Briggs,,,,
England,2012,Jade Dernbach,1986-04-03,Right-handed,,English
England,2012,Steven Finn,1989-04-04,Right-handed,Right-arm fast,English
England,2012,Graeme Swann,1979-03-24,Right-handed,Off spin,English
England,2014,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2014,Ian Bell,1982-04-11,Right-handed,Medium seam,English
England,2014,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2014,Alex Hales,1989-01-03,Right-handed,Medium seam,English
England,2014,Craig Kieswetter,1987-11-28,Right-handed,Wicket-keeper,English
England,2014,Michael Lumb,1980-12-02,Right-handed,,English
England,2014,Moeen Ali,1987-06-18,Left-handed,Off spin,English
England,2014,Ravi Bopara,1985-05-04,Right-handed,Right-arm medium,English
England,2014,Tim Bresnan,1985-02-28,Right-handed,Right-arm fast-medium,English
England,2014,James Tredwell,1982-02-27,Left-handed,Right-arm off break,English
England,2014,Chris Woakes,1989-03-02,Right-handed,Fast seam,English
England,2014,Stuart Broad,1986-06-24,Left-handed,Fast seam,English
England,2014,Jade Dernbach,1986-04-03,Right-handed,,English
England,2014,Chris Jordan,1988-10-04,Right-handed,Fast seam,English
England,2014,Stephen Parry,1986-01-12,Right-handed,,English
England,2016,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2016,Sam Billings,1991-06-15,Right-handed,,English
England,2016,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2016,Alex Hales,1989-01-03,Right-handed,Medium seam,English
England,2016,Joe Root,1990-12-30,Right-handed,Off spin,English
England,2016,Jason Roy,1990-07-21,Right-handed,,English
England,2016,James Vince,1991-03-14,Right-handed,Medium seam,English
England,2016,Moeen Ali,1987-06-18,Left-handed,Off spin,English
England,2016,Liam Dawson,1990-03-01,Right-handed,Left-arm orthodox,English
England,2016,Ben Stokes,1991-06-04,Left-handed,Fast seam,English
England,2016,David Willey,1990-02-28,Left-handed,Fast seam,English
England,2016,Chris Jordan,1988-10-04,Right-handed,Fast seam,English
England,2016,Liam Plunkett,1985-04-06,Right-handed,Fast seam,English
England,2016,Adil Rashid,1988-02-17,Right-handed,Leg spin,English
England,2016,Reece Topley,1994-02-21,Right-handed,Left-arm fast-medium,English
England,2021,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2021,Jonny Bairstow,1989-09-26,Right-handed,Medium seam,English
England,2021,Sam Billings,1991-06-15,Right-handed,,English
England,2021,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2021,Dawid Malan,1987-09-03,Left-handed,Leg spin,English
England,2021,James Vince,1991-03-14,Right-handed,Medium seam,English
England,2021,Moeen Ali,1987-06-18,Left-handed,Off spin,English
England,2021,Tom Curran,1995-03-12,Right-handed,Fast seam,English
England,2021,Liam Livingstone,1993-08-04,Right-handed,Leg spin,English
England,2021,David Willey,1990-02-28,Left-handed,Fast seam,English
England,2021,Chris Woakes,1989-03-02,Right-handed,Fast seam,English
England,2021,Chris Jordan,1988-10-04,Right-handed,Fast seam,English
England,2021,Adil Rashid,1988-02-17,Right-handed,Leg spin,English
England,2021,Reece Topley,1994-02-21,Right-handed,Left-arm fast-medium,English
England,2021,Mark Wood,1990-01-11,Right-handed,Fast seam,English
England,2022,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2022,Harry Brook,1999-02-22,Right-handed,Right-arm medium,
England,2022,Alex Hales,1989-01-03,Right-handed,Medium seam,English
England,2022,Dawid Malan,1987-09-03,Left-handed,Leg spin,English
England,2022,Phil Salt,1996-08-28,Right-handed,,
England,2022,Moeen Ali,1987-06-18,Left-handed,Off spin,English
England,2022,Sam Curran,1998-06-03,Left-handed,Medium seam,English
England,2022,Liam Livingstone,1993-08-04,Right-handed,Leg spin,English
England,2022,Ben Stokes,1991-06-04,Left-handed,Fast seam,English
England,2022,David Willey,1990-02-28,Left-handed,Fast seam,English
England,2022,Chris Woakes,1989-03-02,Right-handed,Fast seam,English
England,2022,Chris Jordan,1988-10-04,Right-handed,Fast seam,English
England,2022,Tymal Mills,,,,
England,2022,Adil Rashid,1988-02-17,Right-handed,Leg spin,English
England,2022,Mark Wood,1990-01-11,Right-handed,Fast seam,English
England,2024,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2024,Jonny Bairstow,1989-09-26,Right-handed,Medium seam,English
England,2024,Harry Brook,1999-02-22,Right-handed,Right-arm medium,
England,2024,Ben Duckett,1994-10-17,Left-handed,,English
England,2024,Phil Salt,1996-08-28,Right-handed,,
England,2024,Moeen Ali,1987-06-18,Left-handed,Off spin,English
England,2024,Sam Curran,1998-06-03,Left-handed,Medium seam,English
England,2024,Will Jacks,1998-11-21,Right-handed,Right-arm off spin,
England,2024,Liam Livingstone,1993-08-04,Right-handed,Leg spin,English
England,2024,Jofra Archer,1995-04-01,Right-handed,Fast seam,English
England,2024,Tom Hartley,1999-05-03,Left-handed,Slow left-arm orthodox,
England,2024,Chris Jordan,1988-10-04,Right-handed,Fast seam,English
England,2024,Adil Rashid,1988-02-17,Right-handed,Leg spin,English
England,2024,Reece Topley,1994-02-21,Right-handed,Left-arm fast-medium,English
England,2024,Mark Wood,1990-01-11,Right-handed,Fast seam,English
Hong Kong,2014,Jamie Atkinson,1990-08-13,Right-handed,,Hong Konger
Hong Kong,2014,Waqas Barkat,1990-02-17,Right-handed,,Hong Konger
Hong Kong,2014,Babar Hayat,1992-01-05,Right-handed,,Hong Konger
Hong Kong,2014,Kinchit Shah,1995-12-09,Left-handed,,Hong Konger
Hong Kong,2014,Aizaz Khan,1993-03-21,Right-handed,,Hong Konger
Hong Kong,2014,Mark Chapman,1994-06-27,Left-handed,Orthodox spin,New Zealander
Hong Kong,2014,Irfan Ahmed,,,,
Hong Kong,2014,Roy Lamsam,,,,
Hong Kong,2014,Munir Dar,,,,
Hong Kong,2014,Najeeb Amar,,,,
Hong Kong,2014,Nizakat Khan,1992-07-08,Right-handed,,Hong Konger
Hong Kong,2014,Tanwir Afzal,1988-06-12,Right-handed,,Hong Konger
Hong Kong,2014,Ehsan Nawaz,1995-03-21,Right-handed,,Hong Konger
Hong Kong,2014,Haseeb Amjad,,,,
Hong Kong,2014,Nadeem Ahmed,1987-09-28,Right-handed,,Hong Konger
Hong Kong,2016,Waqas Khan,1999-10-10,Right-handed,,Hong Konger
Hong Kong,2016,Anshy Rath,1997-11-05,Left-handed,Orthodox spin,Hong Konger
Hong Kong,2016,Jamie Atkinson,1990-08-13,Right-handed,,Hong Konger
Hong Kong,2016,Babar Hayat,1992-01-05,Right-handed,,Hong Konger
Hong Kong,2016,Ryan Campbell,,,,
Hong Kong,2016,Christopher Carter,1997-09-09,Right-handed,,Hong Konger
Hong Kong,2016,Kinchit Shah,1995-12-09,Left-handed,,Hong Konger
Hong Kong,2016,Waqas Barkat,1990-02-17,Right-handed,,Hong Konger
Hong Kong,2016,Tanwir Afzal,1988-06-12,Right-handed,,Hong Konger
Hong Kong,2016,Aizaz Khan,1993-03-21,Right-handed,,Hong Konger
Hong Kong,2016,Mark Chapman,1994-06-27,Left-handed,Orthodox spin,New Zealander
Hong Kong,2016,Nizakat Khan,1992-07-08,Right-handed,,Hong Konger
Hong Kong,2016,Haseeb Amjad,,,,
Hong Kong,2016,Adil Mehmood,,,,
Hong Kong,2016,Nadeem Ahmed,1987-09-28,Right-handed,,Hong Konger
India,2007,MS Dhoni,1981-07-07,Right-handed,Medium seam,Indian
India,2007,Yuvraj Singh,1981-12-12,Left-handed,Orthodox spin,Indian
India,2007,Gautam Gambhir,1981-10-14,Left-handed,Leg spin,Indian
India,2007,Dinesh Karthik,1985-06-01,Right-handed,Off spin,Indian
India,2007,Virender Sehwag,1978-10-20,Right-handed,Off spin,Indian
India,2007,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2007,Robin Uthappa,1985-11-11,Right-handed,Right-arm medium,Indian
India,2007,Piyush Chawla,1988-12-24,Left-handed,Leg spin,Indian
India,2007,Joginder Sharma,,,,
India,2007,Yusuf Pathan,1982-11-17,Right-handed,Right-arm off break,Indian
India,2007,Irfan Pathan,1984-10-27,Left-handed,Left-arm fast-medium,
India,2007,Ajit Agarkar,1977-12-04,Right-handed,Fast seam,Indian
India,2007,Harbhajan Singh,1980-07-03,Right-handed,Off spin,Indian
India,2007,RP Singh,,,,
India,2007,Sreesanth,,,,
India,2009,MS Dhoni,1981-07-07,Right-handed,Medium seam,Indian
India,2009,Yuvraj Singh,1981-12-12,Left-handed,Orthodox spin,Indian
India,2009,Gautam Gambhir,1981-10-14,Left-handed,Leg spin,Indian
India,2009,Dinesh Karthik,1985-06-01,Right-handed,Off spin,Indian
India,2009,Suresh Raina,1986-11-27,Left-handed,Off spin,Indian
India,2009,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2009,Ravindra Jadeja,1988-12-06,Left-handed,Orthodox spin,Indian
India,2009,Yusuf Pathan,1982-11-17,Right-handed,Right-arm off break,Indian
India,2009,Irfan Pathan,1984-10-27,Left-handed,Left-arm fast-medium,
India,2009,Harbhajan Singh,1980-07-03,Right-handed,Off spin,Indian
India,2009,Zaheer Khan,1978-10-07,Right-handed,Fast seam,Indian
India,2009,Praveen Kumar,,,,
India,2009,Pragyan Ojha,,,,
India,2009,Ishant Sharma,1988-09-02,Right-handed,Fast seam,Indian
India,2009,RP Singh,,,,
India,2010,MS Dhoni,1981-07-07,Right-handed,Medium seam,Indian
India,2010,Gautam Gambhir,1981-10-14,Left-handed,Leg spin,Indian
India,2010,Dinesh Karthik,1985-06-01,Right-handed,Off spin,Indian
India,2010,Suresh Raina,1986-11-27,Left-handed,Off spin,Indian
India,2010,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2010,Murali Vijay,1984-04-01,Left-handed,,Indian
India,2010,Yuvraj Singh,1981-12-12,Left-handed,Orthodox spin,Indian
India,2010,Piyush Chawla,1988-12-24,Left-handed,Leg spin,Indian
India,2010,Ravindra Jadeja,1988-12-06,Left-handed,Orthodox spin,Indian
India,2010,Yusuf Pathan,1982-11-17,Right-handed,Right-arm off break,Indian
India,2010,Harbhajan Singh,1980-07-03,Right-handed,Off spin,Indian
India,2010,Zaheer Khan,1978-10-07,Right-handed,Fast seam,Indian
India,2010,Ashish Nehra,1979-04-29,Right-handed,Medium seam,Indian
India,2010,Vinay Kumar,1984-02-12,Right-handed,,Indian
India,2010,Umesh Yadav,1987-10-25,Right-handed,Fast seam,Indian
India,2012,MS Dhoni,1981-07-07,Right-handed,Medium seam,Indian
India,2012,Gautam Gambhir,1981-10-14,Left-handed,Leg spin,Indian
India,2012,Virat Kohli,1988-11-05,Right-handed,Medium seam,Indian
India,2012,Suresh Raina,1986-11-27,Left-handed,Off spin,Indian
India,2012,Virender Sehwag,1978-10-20,Right-handed,Off spin,Indian
India,2012,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2012,Manoj Tiwary,1985-11-14,Right-handed,,Indian
India,2012,Yuvraj Singh,1981-12-12,Left-handed,Orthodox spin,Indian
India,2012,Ravichandran Ashwin,1986-09-17,Right-handed,Off spin,Indian
India,2012,Piyush Chawla,1988-12-24,Left-handed,Leg spin,Indian
India,2012,Irfan Pathan,1984-10-27,Left-handed,Left-arm fast-medium,
India,2012,Lakshmipathy Balaji,,,,
India,2012,Ashok Dinda,1984-03-25,Right-handed,,Indian
India,2012,Harbhajan Singh,1980-07-03,Right-handed,Off spin,Indian
India,2012,Zaheer Khan,1978-10-07,Right-handed,Fast seam,Indian
India,2014,MS Dhoni,1981-07-07,Right-handed,Medium seam,Indian
India,2014,Shikhar Dhawan,1985-12-05,Left-handed,Off spin,Indian
India,2014,Virat Kohli,1988-11-05,Right-handed,Medium seam,Indian
India,2014,Ajinkya Rahane,1988-06-06,Right-handed,Medium seam,Indian
India,2014,Suresh Raina,1986-11-27,Left-handed,Off spin,Indian
India,2014,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2014,Yuvraj Singh,1981-12-12,Left-handed,Orthodox spin,Indian
India,2014,Ravichandran Ashwin,1986-09-17,Right-handed,Off spin,Indian
India,2014,Stuart Binny,1984-06-03,Right-handed,Right-arm medium,Indian
India,2014,Ravindra Jadeja,1988-12-06,Left-handed,Orthodox spin,Indian
India,2014,Varun Aaron,1989-10-29,Right-handed,,Indian
India,2014,Bhuvneshwar Kumar,1990-02-05,Right-handed,Medium seam,Indian
India,2014,Amit Mishra,1982-11-24,Right-handed,Leg spin,Indian
India,2014,Mohammed Shami,1990-09-03,Right-handed,Fast seam,Indian
India,2014,Mohit Sharma,1991-12-19,Right-handed,Right-arm medium-fast,Indian
India,2016,MS Dhoni,1981-07-07,Right-handed,Medium seam,Indian
India,2016,Shikhar Dhawan,1985-12-05,Left-handed,Off spin,Indian
India,2016,Virat Kohli,1988-11-05,Right-handed,Medium seam,Indian
India,2016,Manish Pandey,1989-09-10,Right-handed,Medium seam,Indian
India,2016,Ajinkya Rahane,1988-06-06,Right-handed,Medium seam,Indian
India,2016,Suresh Raina,1986-11-27,Left-handed,Off spin,Indian
India,2016,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2016,Ravichandran Ashwin,1986-09-17,Right-handed,Off spin,Indian
India,2016,Ravindra Jadeja,1988-12-06,Left-handed,Orthodox spin,Indian
India,2016,Hardik Pandya,1993-10-11,Right-handed,Medium seam,Indian
India,2016,Jasprit Bumrah,1993-12-06,Right-handed,Fast seam,Indian
India,2016,Harbhajan Singh,1980-07-03,Right-handed,Off spin,Indian
India,2016,Mohammed Shami,1990-09-03,Right-handed,Fast seam,Indian
India,2016,Pawan Negi,,,,
India,2016,Ashish Nehra,1979-04-29,Right-handed,Medium seam,Indian
India,2021,Virat Kohli,1988-11-05,Right-handed,Medium seam,Indian
India,2021,Ishan Kishan,1998-07-18,Left-handed,,Indian
India,2021,Rishabh Pant,1997-10-04,Left-handed,Right-arm medium,IN
India,2021,KL Rahul,1992-04-18,Right-handed,Right-arm medium,Indian
India,2021,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2021,Suryakumar Yadav,1990-09-14,Right-handed,Right-arm off break,Indian
India,2021,Ravichandran Ashwin,1986-09-17,Right-handed,Off spin,Indian
India,2021,Ravindra Jadeja,1988-12-06,Left-handed,Orthodox spin,Indian
India,2021,Hardik Pandya,1993-10-11,Right-handed,Medium seam,Indian
India,2021,Jasprit Bumrah,1993-12-06,Right-handed,Fast seam,Indian
India,2021,Rahul Chahar,1999-08-04,Right-handed,Leg spin,Indian
India,2021,Bhuvneshwar Kumar,1990-02-05,Right-handed,Medium seam,Indian
India,2021,Mohammed Shami,1990-09-03,Right-handed,Fast seam,Indian
India,2021,Shardul Thakur,1991-10-16,Right-handed,Medium seam,Indian
India,2021,Varun Chakravarthy,,,,
India,2022,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2022,KL Rahul,1992-04-18,Right-handed,Right-arm medium,Indian
India,2022,Dinesh Karthik,1985-06-01,Right-handed,Off spin,Indian
India,2022,Virat Kohli,1988-11-05,Right-handed,Medium seam,Indian
India,2022,Rishabh Pant,1997-10-04,Left-handed,Right-arm medium,IN
India,2022,Suryakumar Yadav,1990-09-14,Right-handed,Right-arm off break,Indian
India,2022,Ravichandran Ashwin,1986-09-17,Right-handed,Off spin,Indian
India,2022,Deepak Hooda,,,,
India,2022,Hardik Pandya,1993-10-11,Right-handed,Medium seam,Indian
India,2022,Axar Patel,1994-01-20,Left-handed,Orthodox spin,Indian
India,2022,Arshdeep Singh,1999-02-05,Left-handed,Left-arm medium-fast,
India,2022,Yuzvendra Chahal,1990-07-23,Right-handed,Leg spin,Indian
India,2022,Bhuvneshwar Kumar,1990-02-05,Right-handed,Medium seam,Indian
India,2022,Mohammed Shami,1990-09-03,Right-handed,Fast seam,Indian
India,2022,Harshal Patel,,,,
India,2024,Rohit Sharma,1987-04-30,Right-handed,Off spin,Indian
India,2024,Yashasvi Jaiswal,2001-12-28,Left-handed,Right-arm leg break,
India,2024,Virat Kohli,1988-11-05,Right-handed,Medium seam,Indian
India,2024,Rishabh Pant,1997-10-04,Left-handed,Right-arm medium,IN
India,2024,Sanju Samson,1994-11-11,Right-handed,Right-arm off break,Indian
India,2024,Suryakumar Yadav,1990-09-14,Right-handed,Right-arm off break,Indian
India,2024,Hardik Pandya,1993-10-11,Right-handed,Medium seam,Indian
India,2024,Shivam Dube,1993-06-26,Left-handed,Medium seam,Indian
India,2024,Ravindra Jadeja,1988-12-06,Left-handed,Orthodox spin,Indian
India,2024,Axar Patel,1994-01-20,Left-handed,Orthodox spin,Indian
India,2024,Arshdeep Singh,1999-02-05,Left-handed,Left-arm medium-fast,
India,2024,Jasprit Bumrah,1993-12-06,Right-handed,Fast seam,Indian
India,2024,Yuzvendra Chahal,1990-07-23,Right-handed,Leg spin,Indian
India,2024,Kuldeep Yadav,1994-12-14,Left-handed,Unorthodox spin,Indian
India,2024,Mohammed Siraj,1994-03-13,Right-handed,Medium seam,Indian
Kenya,2007,Tanmay Mishra,1986-12-22,Right-handed,Right-arm fast-medium,Kenyan
Kenya,2007,Alex Obanda,1987-12-25,Right-handed,,Kenyan
Kenya,2007,David Obuya,1979-08-14,Right-handed,Wicket-keeper,Kenyan
Kenya,2007,Morris Ouma,1982-11-08,Right-handed,Wicket-keeper,Kenyan
Kenya,2007,Steve Tikolo,1971-06-25,Right-handed,,Kenyan
Kenya,2007,Collins Obuya,1981-07-27,Right-handed,Right-arm leg break,Kenyan
Kenya,2007,Thomas Odoyo,1978-05-12,Right-handed,Medium seam,Kenyan
Kenya,2007,Tony Suji,1976-02-05,Right-handed,Right-arm medium,Kenyan
Kenya,2007,Rajesh Bhudia,1984-11-22,Right-handed,Right-arm medium,
Kenya,2007,Jimmy Kamande,1978-12-12,Right-handed,Right-arm off spin/fast-medium,Kenyan
Kenya,2007,Nehemiah Odhiambo,1983-08-07,Right-handed,Right-arm medium-fast,Kenyan
Kenya,2007,Peter Ongondo,1977-02-10,Right-handed,Right-arm medium,Kenyan
Kenya,2007,Lameck Onyango,1973-09-22,Right-handed,Right-arm medium,
Kenya,2007,Elijah Otieno,1988-01-03,Right-handed,Right-arm medium-fast,Kenyan
Kenya,2007,Hiren Varaiya,1984-04-09,Right-handed,Slow left-arm orthodox,Kenyan
Ireland,2009,William Porterfield,1984-09-06,Left-handed,Off spin,Irish
Ireland,2009,Niall O'Brien,1981-11-08,Left-handed,Wicket-keeper,Irish
Ireland,2009,Gary Wilson,1986-02-05,Right-handed,Wicket-keeper,Irish
Ireland,2009,Andre Botha,1975-09-12,Right-handed,Right-arm medium,South African
Ireland,2009,Kyle McCallan,1975-08-27,Right-handed,Right-arm off break,Irish
Ireland,2009,John Mooney,1982-02-10,Left-handed,Right-arm medium,Irish
Ireland,2009,Kevin O'Brien,1984-03-04,Right-handed,Medium seam,Irish
Ireland,2009,Paul Stirling,1990-09-03,Right-handed,Off spin,Irish
Ireland,2009,Andrew White,1980-07-03,Right-handed,Right-arm off break,Irish
Ireland,2009,Peter Connell,,,,
Ireland,2009,Alex Cusack,1980-10-29,Right-handed,Right-arm medium,Irish
Ireland,2009,Trent Johnston,1974-04-29,Right-handed,Right-arm fast-medium,Irish
Ireland,2009,Boyd Rankin,1984-07-05,Left-handed,Fast seam,Irish
Ireland,2009,Regan West,,,,
Ireland,2009,Jeremy Bray,1973-11-30,Right-handed,,Australian
Ireland,2010,William Porterfield,1984-09-06,Left-handed,Off spin,Irish
Ireland,2010,Niall O'Brien,1981-11-08,Left-handed,Wicket-keeper,Irish
Ireland,2010,Gary Wilson,1986-02-05,Right-handed,Wicket-keeper,Irish
Ireland,2010,Andre Botha,1975-09-12,Right-handed,Right-arm medium,South African
Ireland,2010,George Dockrell,1992-07-22,Right-handed,Orthodox spin,Irish
Ireland,2010,Nigel Jones,1985-11-22,Right-handed,Right-arm off break,
