team,year,player_name,dob,batting_style,bowling_style,first_class_team
West Indies,1992,Brian Lara,2 May 1969,Left-handed,Right-arm leg-break,Trinidad and Tobago
West Indies,1992,Carl Hooper,15 December 1966,Right-handed,Right-arm off-break,Guyana
West Indies,1992,Curtly Ambrose,21 September 1963,Left-handed,Right-arm fast,Leeward Islands
West Indies,1992,David Williams (wk),4 November 1963,Right-handed,Wicket-keeper/Right-arm leg-break,Trinidad and Tobago
West Indies,1992,Desmond Haynes,15 February 1956,Right-handed,Right-arm leg-break/medium pace,Barbados
West Indies,1992,Gus Logie,28 September 1960,Right-handed,Right-arm off-break,Trinidad and Tobago
West Indies,1992,Keith Arthurton,21 February 1965,Left-handed,Slow left-arm orthodox/leg-break,Leeward Islands
West Indies,1992,Malcolm Marshall,18 April 1958,Right-handed,Right-arm fast,Barbados
West Indies,1992,Patrick Patterson,15 September 1961,Right-handed,Right-arm fast,Jamaica
West Indies,1992,Phil Simmons,18 April 1963,Right-handed,Right-arm medium,Trinidad and Tobago
West Indies,1992,Richie Richardson (c),12 January 1962,Right-handed,Right-arm medium-pace,Leeward Islands
West Indies,1992,Roger Harper,17 March 1963,Right-handed,Right-arm off-break,Guyana
West Indies,1992,Winston Benjamin,31 December 1964,Right-handed,Right-arm fast,Leeward Islands
Zimbabwe,1992,Ali Shah,7 August 1959,Left-handed,Right-arm medium,
Zimbabwe,1992,Alistair Campbell,23 September 1972,Left-handed,Right-arm off-break,
Zimbabwe,1992,Andrew Pycroft,6 June 1956,Right-handed,Right-arm offbreak,
Zimbabwe,1992,Andy Flower (wk),28 April 1968,Left-handed,Wicket-keeper/Right-arm off-break,
Zimbabwe,1992,Andy Waller,25 September 1959,Right-handed,Right-arm medium,
Zimbabwe,1992,David Houghton (c),23 June 1957,Right-handed,Right-arm off-break,
Zimbabwe,1992,Eddo Brandes,5 March 1963,Right-handed,Right-arm fast,
Zimbabwe,1992,Iain Butchart,9 May 1960,Right-handed,Right-arm medium,
Zimbabwe,1992,John Traicos,17 May 1947,Right-handed,Right-arm off-spin,
Zimbabwe,1992,Kevin Arnott,8 March 1961,Right-handed,,
Zimbabwe,1992,Kevin Duers,30 June 1960,Right-handed,Right-arm medium-fast,
Zimbabwe,1992,Malcolm Jarvis,6 December 1955,Right-handed,Left-arm medium-fast,
Zimbabwe,1992,Mark Burmester,24 January 1968,Right-handed,Right-arm medium,
Zimbabwe,1992,Wayne James,27 August 1965,Right-handed,,
Australia,1996,Craig McDermott,14 April 1965,Right-handed,Right-arm fast,Queensland
Australia,1996,Damien Fleming,24 April 1970,Right-handed,Right-arm fast-medium,Victoria
Australia,1996,Glenn McGrath,9 February 1970,Right-handed,Right-arm fast-medium,New South Wales
Australia,1996,"Ian Healy (vc, wk)",30 April 1964,Right-handed,Wicket-keeper,Queensland
Australia,1996,Mark Taylor (c),27 October 1964,Left-handed,Right-arm medium,New South Wales
Australia,1996,Mark Waugh,2 June 1965,Right-handed,Right-arm medium/off-break,New South Wales
Australia,1996,Michael Bevan,8 May 1970,Left-handed,Slow left-arm wrist spin,New South Wales
Australia,1996,Michael Slater,21 February 1970,Right-handed,Right-arm medium,New South Wales
Australia,1996,Paul Reiffel,19 April 1966,Right-handed,Right-arm fast-medium,Victoria
Australia,1996,Ricky Ponting,19 December 1974,Right-handed,Right-arm medium,Tasmania
Australia,1996,Shane Lee,8 August 1973,Right-handed,Right-arm medium,New South Wales
Australia,1996,Shane Warne,13 September 1969,Right-handed,Right-arm leg-break,Victoria
Australia,1996,Steve Waugh,2 June 1965,Right-handed,Right-arm medium,New South Wales
Australia,1996,Stuart Law,18 October 1968,Right-handed,Right-arm medium,Queensland
England,1996,Alec Stewart,8 April 1963,Right-handed,Right-arm medium,Surrey
England,1996,Craig White,16 December 1969,Right-handed,Right-arm fast-medium,Yorkshire
England,1996,Darren Gough,18 September 1970,Right-handed,Right-arm fast,Yorkshire
England,1996,Dermot Reeve,2 April 1963,Right-handed,Right-arm medium,Warwickshire
England,1996,Dominic Cork,7 August 1971,Right-handed,Right-arm fast-medium,Derbyshire
England,1996,Graeme Hick,23 May 1966,Right-handed,Right-arm off-break,Worcestershire
England,1996,Graham Thorpe,1 August 1969,Left-handed,Right-arm medium,Surrey
England,1996,Jack Russell (wk),15 August 1963,Left-handed,Right-arm off-break,Gloucestershire
England,1996,Michael Atherton (c),23 March 1968,Right-handed,Right-arm leg-break,Lancashire
England,1996,Neil Fairbrother,9 September 1963,Left-handed,Left-arm medium,Lancashire
England,1996,Neil Smith,27 July 1967,Right-handed,Right-arm off-break,Warwickshire
England,1996,Peter Martin,15 November 1968,Right-handed,Right-arm fast-medium,Lancashire
England,1996,Phillip DeFreitas,18 February 1966,Right-handed,Right-arm fast-medium,Lancashire
England,1996,Richard Illingworth,23 August 1963,Right-handed,Slow left-arm orthodox,Worcestershire
England,1996,Robin Smith,13 September 1963,Right-handed,Right-arm leg-break,Hampshire
India,1996,Aashish Kapoor,25 March 1971,Right-handed,Right-arm offbreak,Punjab
India,1996,Ajay Jadeja,1 February 1971,Right-handed,Right-arm medium,Haryana
India,1996,Anil Kumble,17 October 1970,Right-handed,Right-arm leg spin,Karnataka
India,1996,Javagal Srinath,31 August 1969,Right-handed,Right-arm fast,Karnataka
India,1996,Manoj Prabhakar,15 April 1963,Right-handed,Right-arm medium pace,Delhi
India,1996,Mohammad Azharuddin (c),8 February 1963,Right-handed,Right-arm medium,Hyderabad
India,1996,Navjot Singh Sidhu,20 October 1963,Right-handed,Right-arm medium,Punjab
India,1996,Nayan Mongia (wk),19 December 1969,Right-handed,Wicket-keeper,Baroda
India,1996,Sachin Tendulkar (vc),24 April 1973,Right-handed,Right-arm medium/leg-break/off-break,Mumbai
India,1996,Salil Ankola,1 March 1968,Right-handed,Right-arm fast,Mumbai
India,1996,Sanjay Manjrekar,12 July 1965,Right-handed,Right-arm off-spin,Mumbai
India,1996,Venkatapathy Raju,9 July 1969,Right-handed,Slow left-arm orthodox,Hyderabad
India,1996,Venkatesh Prasad,5 August 1969,Right-handed,Right-arm medium-fast,Karnataka
India,1996,Vinod Kambli,18 January 1972,Left-handed,Right-arm off-break,Mumbai
Kenya,1996,Aasif Karim,15 September 1963,Right-handed,Slow left-arm orthodox,Jaffery Mombasa
Kenya,1996,Brijal Patel,14 November 1977,Right-handed,Slow left-arm,Premier Nairobi
Kenya,1996,David Tikolo,27 December 1964,Right-handed,Right-arm medium,
Kenya,1996,Dipak Chudasama,20 May 1963,Right-handed,,
Kenya,1996,Edward Odumbe,19 May 1965,Right-handed,Right-arm medium,
Kenya,1996,Hitesh Modi,13 October 1971,Left-handed,Slow left-arm orthodox,Nairobi Gymkhana Kisumu
Kenya,1996,Kennedy Otieno (wk),11 March 1972,Right-handed,Wicket-keeper,Ruaraka Nairobi
Kenya,1996,Lameck Onyango,22 September 1973,Right-handed,Right-arm medium,Swamibapa Nairobi
Kenya,1996,Martin Suji,2 June 1971,Right-handed,Right-arm medium-fast,Aga Khan Nairobi
Kenya,1996,Maurice Odumbe (c),15 June 1969,Right-handed,Right-arm offbreak,Aga Khan Nairobi
Kenya,1996,Rajab Ali,19 November 1965,Right-handed,Right-arm medium-fast,
Kenya,1996,Steve Tikolo,25 June 1971,Right-handed,Right-arm offbreak,Swamibapa Nairobi
Kenya,1996,Tariq Iqbal (wk),3 April 1964,Right-handed,Wicket-keeper,
Kenya,1996,Thomas Odoyo,12 May 1978,Right-handed,Right-arm medium-fast,Nairobi Gymkhana Kisumu
Netherlands,1996,Bas Zuiderent,3 March 1977,Right-handed,Right-arm medium,VOC
Netherlands,1996,Eric Gouka,29 January 1970,Right-handed,Right-arm medium,Excelsior'20
Netherlands,1996,Flavian Aponso,28 October 1952,Left-handed,Right-arm offbreak,Sebastianites CAC
Netherlands,1996,Floris Jansen,10 June 1962,Right-handed,Right-arm medium,SV Kampong
Netherlands,1996,Klaas-Jan van Noortwijk,10 July 1970,Right-handed,Right-arm medium,VOC
Netherlands,1996,Marcel Schewe (wk),10 March 1969,Right-handed,Wicket-keeper,Excelsior'20
Netherlands,1996,Nolan Clarke,22 June 1948,Right-handed,Leg-break googly,Sparta 1888
Netherlands,1996,Paul-Jan Bakker,19 September 1957,Right-handed,Right-arm medium-fast,Quick Den Haag
Netherlands,1996,Peter Cantrell,28 October 1962,Right-handed,Right-arm offbreak,SV Kampong
Netherlands,1996,Reinout Scholte (wk),10 August 1967,Right-handed,Wicket-keeper,HBS
Netherlands,1996,Robert van Oosterom,16 October 1968,Right-handed,,HBS
Netherlands,1996,Roland Lefebvre,7 February 1963,Right-handed,Right-arm medium,Glamorgan
Netherlands,1996,Steven Lubbers (c),24 March 1953,Right-handed,Right-arm off-break,Hermes DVS
Netherlands,1996,Tim de Leede,25 January 1968,Right-handed,Right-arm medium,Voorburg
New Zealand,1996,Adam Parore (wk),23 January 1971,Right-handed,Wicket-keeper,Auckland
New Zealand,1996,Chris Cairns,13 June 1970,Right-handed,Right-arm fast-medium,Canterbury
New Zealand,1996,Chris Harris,20 November 1969,Left-handed,Right-arm medium,Canterbury
New Zealand,1996,Craig Spearman,4 July 1972,Right-handed,,Central Districts
New Zealand,1996,Danny Morrison,3 February 1966,Right-handed,Right-arm fast-medium,Auckland
New Zealand,1996,Dion Nash,20 November 1971,Right-handed,Right-arm fast-medium,Northern Districts
New Zealand,1996,Dipak Patel,25 October 1958,Right-handed,Right-arm off-break,Auckland
New Zealand,1996,Gavin Larsen,27 September 1962,Right-handed,Right-arm medium,Wellington
New Zealand,1996,"Lee Germon (c, wk)",4 November 1968,Right-handed,Right-arm leg-break/Wicket-keeper,Canterbury
New Zealand,1996,Nathan Astle,15 September 1971,Right-handed,Right-arm medium,Canterbury
New Zealand,1996,Robert Kennedy,3 June 1972,Right-handed,Right-arm medium,Otago
New Zealand,1996,Roger Twose,17 April 1968,Left-handed,Right-arm medium pace,Wellington
New Zealand,1996,Shane Thomson,27 January 1969,Right-handed,Right-arm off-break/fast-medium,Northern Districts
New Zealand,1996,Stephen Fleming,1 April 1973,Left-handed,Right-arm offbreak,Canterbury
Pakistan,1996,Aamer Sohail (vc),14 September 1966,Left-handed,Slow left-arm orthodox,Allied Bank Limited
Pakistan,1996,Aaqib Javed,5 August 1972,Right-handed,Right-arm fast-medium,Allied Bank Limited
Pakistan,1996,Ata-ur-Rehman,28 March 1975,Right-handed,Right-arm fast-medium,Allied Bank Limited
Pakistan,1996,Ijaz Ahmed,20 September 1968,Right-handed,Left-arm medium,Habib Bank
Pakistan,1996,Inzamam-ul-Haq,3 March 1970,Right-handed,Slow left-arm orthodox,Faisalabad
Pakistan,1996,Javed Miandad,12 June 1957,Right-handed,Right-arm leg-break,Habib Bank
Pakistan,1996,Mushtaq Ahmed,28 June 1970,Right-handed,Right-arm leg-break,Multan
Pakistan,1996,Rameez Raja,14 August 1962,Right-handed,Right-arm leg-break,Lahore
Pakistan,1996,Rashid Latif (wk),14 October 1968,Right-handed,Wicket-keeper/Right-arm leg-break,Karachi
Pakistan,1996,Saeed Anwar,6 September 1968,Left-handed,Slow left-arm orthodox,National Bank
Pakistan,1996,Saleem Malik,16 April 1963,Right-handed,Right-arm off-break,Lahore
Pakistan,1996,Saqlain Mushtaq,29 December 1976,Right-handed,Right-arm off-break,Pakistan International Airlines
Pakistan,1996,Waqar Younis,16 November 1971,Right-handed,Right-arm fast,United Bank Limited
Pakistan,1996,Wasim Akram (c),3 June 1966,Left-handed,Left-arm fast,PIA
South Africa,1996,Allan Donald,20 October 1966,Right-handed,Right-arm fast,Warwickshire
South Africa,1996,Andrew Hudson,17 March 1965,Right-handed,Right-arm medium,KwaZulu-Natal
South Africa,1996,Brian McMillan,22 December 1963,Right-handed,Right-arm medium-fast,Western Province
South Africa,1996,Craig Matthews,15 February 1965,Right-handed,Right-arm fast-medium,Western Province
South Africa,1996,Daryl Cullinan,4 March 1967,Right-handed,Right-arm off-break,Transvaal
South Africa,1996,Fanie de Villiers,13 October 1964,Right-handed,Right-arm fast-medium,Northern Transvaal
South Africa,1996,Gary Kirsten,23 November 1967,Left-handed,Right-arm off-break,Western Province
South Africa,1996,Hansie Cronje (c),25 September 1969,Right-handed,Right-arm medium,Free State
South Africa,1996,Jacques Kallis,16 October 1975,Right-handed,Right-arm fast-medium,Western Province
South Africa,1996,Jonty Rhodes,27 July 1969,Right-handed,Right-arm medium,KwaZulu-Natal
South Africa,1996,Pat Symcox,14 April 1960,Right-handed,Right-arm offbreak,KwaZulu-Natal
South Africa,1996,Paul Adams,20 January 1977,Right-handed,Left-arm wrist spin,Western Province
South Africa,1996,Shaun Pollock,16 July 1973,Right-handed,Right-arm fast-medium,Warwickshire
South Africa,1996,Steve Palframan (wk),12 May 1970,Right-handed,Wicket-keeper,Boland
Sri Lanka,1996,Aravinda de Silva (vc),17 October 1965,Right-handed,Right-arm off-break,Nondescripts
Sri Lanka,1996,Arjuna Ranatunga (c),1 December 1963,Left-handed,Right-arm medium,Sinhalese SC
Sri Lanka,1996,Asanka Gurusinha,16 September 1966,Left-handed,Right-arm medium,Nondescripts
Sri Lanka,1996,Chaminda Vaas,27 January 1974,Left-handed,Left-arm fast-medium,Colts CC
Sri Lanka,1996,Hashan Tillakaratne,14 July 1967,Left-handed,Right-arm off break,Nondescripts
Sri Lanka,1996,Kumar Dharmasena,24 April 1971,Right-handed,Right-arm offbreak,Bloomfield
Sri Lanka,1996,Marvan Atapattu,22 November 1970,Right-handed,Right-arm leg spin,Sinhalese SC
Sri Lanka,1996,Muttiah Muralitharan,17 April 1972,Right-handed,Right-arm off-break,Tamil Union
Sri Lanka,1996,Pramodya Wickramasinghe,14 August 1971,Right-handed,Right-arm fast,Burgher RC
Sri Lanka,1996,Ravindra Pushpakumara,21 July 1975,Right-handed,Right-arm fast-medium,Colts CC
Sri Lanka,1996,Romesh Kaluwitharana (wk),24 November 1969,Right-handed,Wicket-keeper/Right-arm medium,Sebastianites
Sri Lanka,1996,Roshan Mahanama,31 May 1966,Right-handed,,Bloomfield
Sri Lanka,1996,Sanath Jayasuriya,30 June 1969,Left-handed,Slow left-arm orthodox,Bloomfield
Sri Lanka,1996,Upul Chandana,7 May 1972,Right-handed,Right-arm leg-break,Tamil Union C&AC
UAE,1996,Arshad Laeeq,28 November 1970,Right-handed,Right-arm fast-medium,
UAE,1996,Azhar Saeed,25 December 1970,Left-handed,Slow left-arm orthodox,
UAE,1996,Ganesh Mylvaganam,1 August 1966,Right-handed,,
UAE,1996,Imtiaz Abbasi (wk),9 June 1968,Right-handed,Wicket-keeper,
UAE,1996,Johanne Samarasekera,22 February 1968,Right-handed,Right-arm medium-fast,
UAE,1996,Mazhar Hussain,25 October 1967,Right-handed,Right-arm leg-break,
UAE,1996,Mohammad Aslam,7 September 1961,Right-handed,Right-arm fast,
UAE,1996,Mohammad Ishaq,7 March 1963,Right-handed,Right-arm medium,
UAE,1996,Saeed-Al-Saffar,31 July 1968,Left-handed,Left-arm fast-medium,
UAE,1996,Saleem Raza,5 July 1964,Right-handed,Right-arm offbreak,
UAE,1996,Shaukat Dukanwala,21 January 1957,Right-handed,Right-arm offbreak,
UAE,1996,Shehzad Altaf,6 October 1957,Right-handed,Right-arm medium,
UAE,1996,Sultan Zarawani (c),24 January 1961,Right-handed,Right-arm leg spin,
UAE,1996,Vijay Mehra,17 October 1963,Right-handed,,
West Indies,1996,Brian Lara,2 May 1969,Left-handed,Right-arm leg-break,Trinidad and Tobago
West Indies,1996,Cameron Cuffy,8 February 1970,Right-handed,Right-arm fast,Windward Islands
West Indies,1996,Courtney Browne (wk),7 December 1970,Right-handed,Wicket-keeper,Barbados
West Indies,1996,Courtney Walsh,30 October 1962,Right-handed,Right-arm medium-fast,Jamaica
West Indies,1996,Curtly Ambrose,21 September 1963,Left-handed,Right-arm fast,Leeward Islands
West Indies,1996,Ian Bishop,24 October 1967,Right-handed,Right-arm fast,Trinidad and Tobago
West Indies,1996,Jimmy Adams,9 January 1968,Left-handed,Slow left-arm orthodox,Jamaica
West Indies,1996,Keith Arthurton,21 February 1965,Left-handed,Slow left-arm orthodox/leg-break,Leeward Islands
West Indies,1996,Ottis Gibson,16 March 1969,Right-handed,Right-arm fast,Barbados
West Indies,1996,Phil Simmons,18 April 1963,Right-handed,Right-arm medium,Trinidad and Tobago
West Indies,1996,Richie Richardson (c),12 January 1962,Right-handed,Right-arm medium-pace,Leeward Islands
West Indies,1996,Roger Harper,17 March 1963,Right-handed,Right-arm off-break,Guyana
West Indies,1996,Roland Holder,22 December 1967,Right-handed,Right-arm medium pace,Barbados
West Indies,1996,Sherwin Campbell,1 January 1970,Right-handed,Right-arm medium pace,Barbados
West Indies,1996,Shivnarine Chanderpaul,16 August 1974,Left-handed,Right-arm leg-break,Guyana
Zimbabwe,1996,Alistair Campbell,23 September 1972,Left-handed,Right-arm off-break,Manicaland
Zimbabwe,1996,"Andy Flower (c, wk)",28 April 1968,Left-handed,Wicket-keeper/Right-arm off-break,Mashonaland
Zimbabwe,1996,Andy Waller,25 September 1959,Right-handed,Right-arm medium,Mashonaland
Zimbabwe,1996,Bryan Strang,9 June 1972,Right-handed,Left-arm medium,Mashonaland
Zimbabwe,1996,Charlie Lock,10 September 1962,Right-handed,Right-arm fast-medium,Mashonaland
Zimbabwe,1996,Craig Evans,29 November 1969,Right-handed,Right-arm medium,Matabeleland
Zimbabwe,1996,Eddo Brandes,5 March 1963,Right-handed,Right-arm fast,Mashonaland
Zimbabwe,1996,Grant Flower,20 December 1970,Right-handed,Slow left-arm orthodox,Mashonaland
Zimbabwe,1996,Guy Whittall,5 September 1972,Right-handed,Right-arm medium,Mashonaland
Zimbabwe,1996,Heath Streak,16 March 1974,Right-handed,Right-arm fast-medium,Matabeleland
Zimbabwe,1996,Henry Olonga,3 July 1976,Right-handed,Right-arm fast,Matabeleland
Zimbabwe,1996,Paul Strang,28 July 1970,Right-handed,Right-arm leg-break,Mashonaland
Zimbabwe,1996,Sean Davies,15 October 1973,Left-handed,Right-arm medium-fast,Mashonaland
Zimbabwe,1996,Stephen Peall,2 September 1969,Left-handed,Right-arm offbreak,Mashonaland
Australia,1999,Adam Dale,30 December 1968,Left-handed,Right-arm medium,Queensland
Australia,1999,Adam Gilchrist (wk),14 November 1971,Left-handed,Right-arm off break,Western Australia
Australia,1999,Brendon Julian,10 August 1970,Right-handed,Left-arm fast-medium,Western Australia
Australia,1999,Damien Fleming,24 April 1970,Right-handed,Right-arm fast-medium,Victoria
Australia,1999,Damien Martyn,21 October 1971,Right-handed,Right-arm medium,Western Australia
Australia,1999,Darren Lehmann,5 February 1970,Left-handed,Slow left-arm orthodox,South Australia
Australia,1999,Glenn McGrath,9 February 1970,Right-handed,Right-arm fast-medium,New South Wales
Australia,1999,Mark Waugh,2 June 1965,Right-handed,Right-arm medium/off break,New South Wales
Australia,1999,Michael Bevan,8 May 1970,Left-handed,Slow left-arm wrist-spin,New South Wales
Australia,1999,Paul Reiffel,19 April 1966,Right-handed,Right-arm fast-medium,Victoria
Australia,1999,Ricky Ponting,19 December 1974,Right-handed,Right-arm medium,Tasmania
Australia,1999,Shane Lee,8 August 1973,Right-handed,Right-arm medium,New South Wales
Australia,1999,Shane Warne,13 September 1969,Right-handed,Right-arm leg break,Victoria
Australia,1999,Steve Waugh (c),2 June 1965,Right-handed,Right-arm medium,New South Wales
Australia,1999,Tom Moody,2 October 1965,Right-handed,Right-arm medium,Western Australia
Bangladesh,1999,Akram Khan,1 November 1968,Right-handed,Right-arm medium,Chittagong Division
Bangladesh,1999,Aminul Islam (c),2 February 1968,Right-handed,Right-arm off break,Biman Bangladesh Airlines
Bangladesh,1999,Enamul Haque,27 February 1966,Left-handed,Slow left-arm orthodox,Biman Bangladesh Airlines
Bangladesh,1999,Faruk Ahmed,24 July 1966,Right-handed,Right-arm off break,Biman Bangladesh Airlines
Bangladesh,1999,Hasibul Hossain,3 June 1977,Right-handed,Right-arm fast-medium,Sylhet Division
Bangladesh,1999,Khaled Mahmud,26 July 1971,Right-handed,Right-arm medium,Dhaka Division
Bangladesh,1999,Khaled Mashud (wk),8 February 1976,Right-handed,Wicket-keeper,Rajshahi Division
Bangladesh,1999,Manjural Islam,7 November 1979,Left-handed,Left-arm fast-medium,Khulna Division
Bangladesh,1999,Mehrab Hossain,22 September 1978,Right-handed,Right-arm medium,Dhaka Division
Bangladesh,1999,Minhajul Abedin,25 September 1965,Right-handed,Right-arm off break,Chittagong Division
Bangladesh,1999,Mohammad Rafique,5 September 1970,Left-handed,Slow left-arm orthodox,Sylhet Division
Bangladesh,1999,Naimur Rahman,9 September 1974,Right-handed,Right-arm off break,Dhaka Division
Bangladesh,1999,Niamur Rashid,1 January 1975,Right-handed,Right-arm medium-fast,Dhaka Metropolis
Bangladesh,1999,Shafiuddin Ahmed,1 June 1973,Right-handed,Right-arm fast-medium,Chittagong Division
Bangladesh,1999,Shahriar Hossain,1 June 1976,Right-handed,Right-arm off break,Dhaka Division
England,1999,Adam Hollioake,5 September 1971,Right-handed,Right-arm medium,Surrey
England,1999,Alan Mullally,12 July 1969,Right-handed,Left-arm fast-medium,Leicestershire
England,1999,Alec Stewart (c/wk),8 April 1963,Right-handed,Right-arm medium,Surrey
England,1999,Andrew Flintoff,6 December 1977,Right-handed,Right-arm fast,Lancashire
England,1999,Angus Fraser,8 August 1965,Right-handed,Right-arm fast-medium,Middlesex
England,1999,Darren Gough,18 September 1970,Right-handed,Right-arm fast,Yorkshire
England,1999,Graeme Hick,23 May 1966,Right-handed,Right-arm off break,Worcestershire
England,1999,Graham Thorpe,1 August 1969,Left-handed,Right-arm medium,Surrey
England,1999,Ian Austin,30 May 1966,Left-handed,Right-arm medium,Lancashire
England,1999,Mark Ealham,27 August 1969,Right-handed,Right-arm medium-fast,Kent
England,1999,Nasser Hussain,28 March 1968,Right-handed,Right-arm leg break,Essex
England,1999,Neil Fairbrother,9 September 1963,Left-handed,Left-arm medium,Lancashire
England,1999,Nick Knight,28 November 1969,Left-handed,Right-arm medium,Warwickshire
England,1999,Robert Croft,25 May 1970,Right-handed,Right-arm off break,Glamorgan
England,1999,Vince Wells,6 August 1965,Right-handed,Right-arm medium,Kent
India,1999,Ajay Jadeja (vc),1 February 1971,Right-handed,Right-arm medium,Haryana
India,1999,Ajit Agarkar,4 December 1977,Right-handed,Right-arm fast-medium,Mumbai
India,1999,Amay Khurasiya,18 May 1972,Left-handed,Slow left-arm orthodox,Madhya Pradesh
India,1999,Anil Kumble,17 October 1970,Right-handed,Right-arm leg break,Karnataka
India,1999,Debasis Mohanty,20 July 1976,Right-handed,Right-arm fast-medium,Odisha
India,1999,Javagal Srinath,31 August 1969,Right-handed,Right-arm fast,Karnataka
India,1999,Mohammad Azharuddin (c),8 February 1963,Right-handed,Right-arm medium,Hyderabad
India,1999,Nayan Mongia (wk),19 December 1969,Right-handed,Wicket-keeper,Baroda
India,1999,Nikhil Chopra,19 August 1973,Right-handed,Right-arm off break,Uttar Pradesh
India,1999,Rahul Dravid,11 January 1973,Right-handed,Right-arm off break,Karnataka
India,1999,Robin Singh,14 September 1963,Left-handed,Right-arm medium-fast,Tamil Nadu
India,1999,Sachin Tendulkar,24 April 1973,Right-handed,Right-arm leg break,Mumbai
India,1999,Sadagoppan Ramesh,16 October 1975,Left-handed,Right-arm off break,Tamil Nadu
India,1999,Sourav Ganguly,8 July 1972,Left-handed,Right-arm medium,Bengal
India,1999,Venkatesh Prasad,5 August 1969,Right-handed,Right-arm medium-fast,Karnataka
Kenya,1999,Aasif Karim (c),15 September 1963,Right-handed,Slow left-arm orthodox,"Jaffery, Mombasa"
Kenya,1999,Alpesh Vadher,7 September 1974,Right-handed,,"Premier, Nairobi"
Kenya,1999,Dipak Chudasama,20 May 1963,Right-handed,,
Kenya,1999,Hitesh Modi,13 October 1971,Left-handed,Slow left-arm orthodox,"Nairobi Gymkhana, Kisumu"
Kenya,1999,Jimmy Kamande,12 December 1978,Right-handed,Right-arm off spin/fast-medium,
Kenya,1999,Joseph Angara,8 November 1971,Right-handed,Right-arm medium-fast,"Swamibapa, Nairobi"
Kenya,1999,Kennedy Otieno (wk),11 March 1972,Right-handed,Wicket-keeper,"Ruaraka, Nairobi"
Kenya,1999,Martin Suji,2 June 1971,Right-handed,Right-arm medium-fast,"Aga Khan, Nairobi"
Kenya,1999,Maurice Odumbe,15 June 1969,Right-handed,Right-arm off break,"Aga Khan, Nairobi"
Kenya,1999,Mohammad Sheikh,29 August 1980,Left-handed,Left-arm fast,
Kenya,1999,Ravindu Shah,28 August 1972,Right-handed,Right-arm medium-fast,"Nairobi Gymkhana, Kisumu"
Kenya,1999,Sandip Gupta (wk),7 April 1967,Right-handed,,
Kenya,1999,Steve Tikolo,25 June 1971,Right-handed,Right-arm medium/off spin,"Swamibapa, Nairobi"
Kenya,1999,Thomas Odoyo,12 May 1978,Right-handed,Right-arm medium-fast,"Nairobi Gymkhana, Kisumu"
Kenya,1999,Tony Suji,5 February 1976,Right-handed,Right-arm medium,"Aga Khan, Nairobi"
New Zealand,1999,Adam Parore (wk),23 January 1971,Right-handed,Wicket-keeper,Auckland
New Zealand,1999,Carl Bulfin,19 August 1973,Right-handed,Right-arm fast-medium,Wellington
New Zealand,1999,Chris Cairns,13 June 1970,Right-handed,Right-arm fast-medium,Canterbury
New Zealand,1999,Chris Harris,20 November 1969,Left-handed,Right-arm medium,Canterbury
New Zealand,1999,Craig McMillan,13 September 1976,Right-handed,Right-arm medium,Canterbury
New Zealand,1999,Daniel Vettori,27 January 1979,Left-handed,Slow left-arm orthodox,Northern Districts
New Zealand,1999,Dion Nash,20 November 1971,Right-handed,Right-arm fast-medium,Northern Districts
New Zealand,1999,Gavin Larsen,27 September 1962,Right-handed,Right-arm medium,Wellington
New Zealand,1999,Geoff Allott,24 December 1971,Right-handed,Left-arm fast-medium,Canterbury
New Zealand,1999,Matt Horne,5 December 1970,Right-handed,Right-arm medium,Otago
New Zealand,1999,Matthew Hart,16 May 1972,Left-handed,Slow left-arm orthodox,Northern Districts
New Zealand,1999,Nathan Astle,15 September 1971,Right-handed,Right-arm medium,Canterbury
New Zealand,1999,Roger Twose,17 April 1968,Left-handed,Right-arm medium,Wellington
New Zealand,1999,Simon Doull,6 August 1969,Right-handed,Right-arm medium,Northern Districts
New Zealand,1999,Stephen Fleming (c),1 April 1973,Left-handed,Right-arm off break,Canterbury
Pakistan,1999,Abdul Razzaq,2 December 1979,Right-handed,Right-arm fast-medium,PIA
Pakistan,1999,Azhar Mahmood,28 February 1975,Right-handed,Right-arm fast-medium,PIA
Pakistan,1999,Ijaz Ahmed,20 September 1968,Right-handed,Left-arm medium,Habib Bank
Pakistan,1999,Inzamam-ul-Haq,3 March 1970,Right-handed,Slow left-arm orthodox,Faisalabad
Pakistan,1999,Moin Khan (wk),23 September 1971,Right-handed,Wicket-keeper,PIA
Pakistan,1999,Mushtaq Ahmed,28 June 1970,Right-handed,Right-arm leg break,Multan
Pakistan,1999,Saeed Anwar,6 September 1968,Left-handed,Slow left-arm orthodox,National Bank
Pakistan,1999,Saleem Malik,16 April 1963,Right-handed,Right-arm off break/slow medium,Lahore
Pakistan,1999,Saqlain Mushtaq,29 December 1976,Right-handed,Right-arm off break,PIA
Pakistan,1999,Shahid Afridi,1 March 1977,Right-handed,Right-arm leg break,Habib Bank
Pakistan,1999,Shoaib Akhtar,13 August 1975,Right-handed,Right-arm fast,Khan Research Labs
Pakistan,1999,Wajahatullah Wasti,11 November 1974,Right-handed,Right-arm off break,Allied Bank Limited
Pakistan,1999,Waqar Younis,16 November 1971,Right-handed,Right-arm fast,United Bank Limited
Pakistan,1999,Wasim Akram (c),3 June 1966,Left-handed,Left-arm fast,PIA
