Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,1992,New Zealand,Chris Harris,20 November 1969,Left-handed,Right-arm medium,Canterbury
ODI World Cup,1992,New Zealand,Danny Morrison,3 February 1966,Right-handed,Right-arm fast-medium,Auckland
ODI World Cup,1992,New Zealand,Dipak Patel,25 October 1958,Right-handed,Right-arm off-break,Auckland
ODI World Cup,1992,New Zealand,Gavin Larsen,27 September 1962,Right-handed,Right-arm medium,Wellington
ODI World Cup,1992,New Zealand,Ian Smith (wk),28 February 1957,Right-handed,Wicket-keeper,Auckland
ODI World Cup,1992,New Zealand,John Wright,5 July 1954,Left-handed,Right-arm medium-fast,Auckland
ODI World Cup,1992,New Zealand,Ken Rutherford,26 October 1965,Right-handed,Right-arm medium,Otago
ODI World Cup,1992,New Zealand,Mark Greatbatch,11 December 1963,Left-handed,Right-arm medium,Central Districts
ODI World Cup,1992,New Zealand,Martin Crowe (c),22 September 1962,Right-handed,Right-arm medium,Wellington
ODI World Cup,1992,New Zealand,Murphy Su'a,7 November 1966,Left-handed,Left-arm fast-medium,Auckland
ODI World Cup,1992,New Zealand,Rod Latham,12 June 1961,Right-handed,Right-arm medium,Canterbury
ODI World Cup,1992,New Zealand,Willie Watson,31 August 1965,Right-handed,Right-arm fast-medium,Auckland
ODI World Cup,1992,Pakistan,Aamir Sohail,14 September 1966,Left-handed,Slow left-arm orthodox,Habib Bank
ODI World Cup,1992,Pakistan,Aaqib Javed,5 August 1972,Right-handed,Right-arm fast-medium,PAC
ODI World Cup,1992,Pakistan,Ijaz Ahmed,20 September 1968,Right-handed,Left-arm medium,Habib Bank
ODI World Cup,1992,Pakistan,Imran Khan (c),25 November 1952,Right-handed,Right-arm fast,-
ODI World Cup,1992,Pakistan,Inzamam-ul-Haq,3 March 1970,Right-handed,Slow left-arm orthodox,Multan
ODI World Cup,1992,Pakistan,Iqbal Sikander,19 December 1958,Right-handed,Right-arm leg-break googly,Karachi
ODI World Cup,1992,Pakistan,Javed Miandad,12 June 1957,Right-handed,Right-arm leg-break,Habib Bank
ODI World Cup,1992,Pakistan,Moin Khan (wk),23 September 1971,Right-handed,Wicket-keeper,Karachi
ODI World Cup,1992,Pakistan,Mushtaq Ahmed,28 June 1970,Right-handed,Right-arm leg-break,Multan
ODI World Cup,1992,Pakistan,Rameez Raja,14 August 1962,Right-handed,Right-arm leg-break,Lahore
ODI World Cup,1992,Pakistan,Saleem Malik,16 April 1963,Right-handed,Right-arm off-break,Habib Bank
ODI World Cup,1992,Pakistan,Wasim Akram,3 June 1966,Left-handed,Left-arm fast,PIA
ODI World Cup,1992,Pakistan,Wasim Haider,6 June 1967,Right-handed,Right-arm fast-medium,Faisalabad
ODI World Cup,1992,Pakistan,Zahid Fazal,10 November 1973,Right-handed,Right-arm medium/off-break,PIA
ODI World Cup,1992,South Africa,Adrian Kuiper,24 August 1959,Right-handed,Right-arm medium/offbreak,Western Province
ODI World Cup,1992,South Africa,Allan Donald,20 October 1966,Right-handed,Right-arm fast,Warwickshire
ODI World Cup,1992,South Africa,Andrew Hudson,17 March 1965,Right-handed,Right-arm medium,Natal
ODI World Cup,1992,South Africa,Brian McMillan,22 December 1963,Right-handed,Right-arm medium-fast,Western Province
ODI World Cup,1992,South Africa,Dave Richardson (wk),16 September 1959,Right-handed,Wicket-keeper,Eastern Province
ODI World Cup,1992,South Africa,Hansie Cronje,25 September 1969,Right-handed,Right-arm medium,Orange Free State
ODI World Cup,1992,South Africa,Jonty Rhodes,27 July 1969,Right-handed,Right-arm medium,Natal
ODI World Cup,1992,South Africa,Kepler Wessels (c),14 September 1957,Left-handed,Right-arm off-break/medium,Eastern Province
ODI World Cup,1992,South Africa,Mark Rushmere,7 January 1965,Right-handed,Right-arm medium,Eastern Province
ODI World Cup,1992,South Africa,Meyrick Pringle,22 June 1966,Right-handed,Right-arm fast-medium,Western Province
ODI World Cup,1992,South Africa,Omar Henry,23 January 1952,Left-handed,Slow left-arm orthodox,Orange Free State
ODI World Cup,1992,South Africa,Peter Kirsten,14 May 1955,Right-handed,Right-arm offbreak,Border
ODI World Cup,1992,South Africa,Richard Snell,12 September 1968,Right-handed,Right-arm fast-medium,Transvaal
ODI World Cup,1992,South Africa,Tertius Bosch,14 March 1960,Right-handed,Right-arm fast,Northern Transvaal
ODI World Cup,1992,Sri Lanka,Aravinda de Silva (c),17 October 1965,Right-handed,Right-arm off-break,Nondescripts
ODI World Cup,1992,Sri Lanka,Arjuna Ranatunga,1 December 1963,Left-handed,Right-arm medium,Sinhalese SC
ODI World Cup,1992,Sri Lanka,Asanka Gurusinha,16 September 1966,Left-handed,Right-arm medium,Nondescripts
ODI World Cup,1992,Sri Lanka,Athula Samarasekera,5 August 1961,Right-handed,Right-arm medium,Colombo CC
ODI World Cup,1992,Sri Lanka,Champaka Ramanayake,8 January 1965,Right-handed,Right-arm fast-medium,Tamil Union C&A
ODI World Cup,1992,Sri Lanka,Chandika Hathurusingha,13 September 1968,Right-handed,Right-arm medium-fast,Tamil Union
ODI World Cup,1992,Sri Lanka,Don Anurasiri,25 February 1966,Right-handed,Slow left-arm orthodox,Panadura SC
ODI World Cup,1992,Sri Lanka,Graeme Labrooy,7 June 1964,Right-handed,Right-arm fast-medium,Basnahira North
ODI World Cup,1992,Sri Lanka,Hashan Tillakaratne (wk),14 July 1967,Left-handed,Wicket-keeper,Nondescripts
ODI World Cup,1992,Sri Lanka,Kapila Wijegunawardene,23 November 1964,Right-handed,Right-arm fast-medium,Colombo CC
ODI World Cup,1992,Sri Lanka,Pramodya Wickramasinghe,14 August 1971,Right-handed,Right-arm fast,Sinhalese SC
ODI World Cup,1992,Sri Lanka,Roshan Mahanama,31 May 1966,Right-handed,-,Colombo CC
ODI World Cup,1992,Sri Lanka,Ruwan Kalpage,19 February 1970,Left-handed,Right-arm offbreak,Nondescripts
ODI World Cup,1992,Sri Lanka,Sanath Jayasuriya,30 June 1969,Left-handed,Slow left-arm orthodox,Bloomfield
ODI World Cup,1992,West Indies,Anderson Cummins,7 May 1966,Right-handed,Right-arm fast,Jamaica
ODI World Cup,1992,West Indies,Brian Lara,2 May 1969,Left-handed,Right-arm leg-break,Trinidad and Tobago
ODI World Cup,1992,West Indies,Carl Hooper,15 December 1966,Right-handed,Right-arm off-break,Guyana
ODI World Cup,1992,West Indies,Curtly Ambrose,21 September 1963,Left-handed,Right-arm fast,Leeward Islands
ODI World Cup,1992,West Indies,David Williams (wk),4 November 1963,Right-handed,Wicket-keeper/Right-arm leg-break,Trinidad and Tobago
ODI World Cup,1992,West Indies,Desmond Haynes,15 February 1956,Right-handed,Right-arm leg-break/medium pace,Barbados
ODI World Cup,1992,West Indies,Gus Logie,28 September 1960,Right-handed,Right-arm off-break,Trinidad and Tobago
ODI World Cup,1992,West Indies,Keith Arthurton,21 February 1965,Left-handed,Slow left-arm orthodox/leg-break,Leeward Islands
ODI World Cup,1992,West Indies,Malcolm Marshall,18 April 1958,Right-handed,Right-arm fast,Barbados
ODI World Cup,1992,West Indies,Patrick Patterson,15 September 1961,Right-handed,Right-arm fast,Jamaica
ODI World Cup,1992,West Indies,Phil Simmons,18 April 1963,Right-handed,Right-arm medium,Trinidad and Tobago
ODI World Cup,1992,West Indies,Richie Richardson (c),12 January 1962,Right-handed,Right-arm medium-pace,Leeward Islands
ODI World Cup,1992,West Indies,Roger Harper,17 March 1963,Right-handed,Right-arm off-break,Guyana
ODI World Cup,1992,West Indies,Winston Benjamin,31 December 1964,Right-handed,Right-arm fast,Leeward Islands
ODI World Cup,1992,Zimbabwe,Ali Shah,7 August 1959,Left-handed,Right-arm medium,-
ODI World Cup,1992,Zimbabwe,Alistair Campbell,23 September 1972,Left-handed,Right-arm off-break,-
ODI World Cup,1992,Zimbabwe,Andrew Pycroft,6 June 1956,Right-handed,Right-arm offbreak,-
ODI World Cup,1992,Zimbabwe,Andy Flower (wk),28 April 1968,Left-handed,Wicket-keeper/Right-arm off-break,-
ODI World Cup,1992,Zimbabwe,Andy Waller,25 September 1959,Right-handed,Right-arm medium,-
ODI World Cup,1992,Zimbabwe,David Houghton (c),23 June 1957,Right-handed,Right-arm off-break,-
ODI World Cup,1992,Zimbabwe,Eddo Brandes,5 March 1963,Right-handed,Right-arm fast,-
ODI World Cup,1992,Zimbabwe,Iain Butchart,9 May 1960,Right-handed,Right-arm medium,-
ODI World Cup,1992,Zimbabwe,John Traicos,17 May 1947,Right-handed,Right-arm off-spin,-
ODI World Cup,1992,Zimbabwe,Kevin Arnott,8 March 1961,Right-handed,-,-
ODI World Cup,1992,Zimbabwe,Kevin Duers,30 June 1960,Right-handed,Right-arm medium-fast,-
ODI World Cup,1992,Zimbabwe,Malcolm Jarvis,6 December 1955,Right-handed,Left-arm medium-fast,-
ODI World Cup,1992,Zimbabwe,Mark Burmester,24 January 1968,Right-handed,Right-arm medium,-
ODI World Cup,1992,Zimbabwe,Wayne James,27 August 1965,Right-handed,-,-
ODI World Cup,1996,Australia,Craig McDermott,14 April 1965,Right-handed,Right-arm fast,Queensland
ODI World Cup,1996,Australia,Damien Fleming,24 April 1970,Right-handed,Right-arm fast-medium,Victoria
ODI World Cup,1996,Australia,Glenn McGrath,9 February 1970,Right-handed,Right-arm fast-medium,New South Wales
ODI World Cup,1996,Australia,"Ian Healy (vc, wk)",30 April 1964,Right-handed,Wicket-keeper,Queensland
ODI World Cup,1996,Australia,Mark Taylor (c),27 October 1964,Left-handed,Right-arm medium,New South Wales
ODI World Cup,1996,Australia,Mark Waugh,2 June 1965,Right-handed,Right-arm medium/off-break,New South Wales
ODI World Cup,1996,Australia,Michael Bevan,8 May 1970,Left-handed,Slow left-arm wrist spin,New South Wales
ODI World Cup,1996,Australia,Michael Slater,21 February 1970,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1996,Australia,Paul Reiffel,19 April 1966,Right-handed,Right-arm fast-medium,Victoria
ODI World Cup,1996,Australia,Ricky Ponting,19 December 1974,Right-handed,Right-arm medium,Tasmania
ODI World Cup,1996,Australia,Shane Lee,8 August 1973,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1996,Australia,Shane Warne,13 September 1969,Right-handed,Right-arm leg-break,Victoria
ODI World Cup,1996,Australia,Steve Waugh,2 June 1965,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1996,Australia,Stuart Law,18 October 1968,Right-handed,Right-arm medium,Queensland
ODI World Cup,1996,England,Alec Stewart,8 April 1963,Right-handed,Right-arm medium,Surrey
ODI World Cup,1996,England,Craig White,16 December 1969,Right-handed,Right-arm fast-medium,Yorkshire
ODI World Cup,1996,England,Darren Gough,18 September 1970,Right-handed,Right-arm fast,Yorkshire
ODI World Cup,1996,England,Dermot Reeve,2 April 1963,Right-handed,Right-arm medium,Warwickshire
ODI World Cup,1996,England,Dominic Cork,7 August 1971,Right-handed,Right-arm fast-medium,Derbyshire
ODI World Cup,1996,England,Graeme Hick,23 May 1966,Right-handed,Right-arm off-break,Worcestershire
ODI World Cup,1996,England,Graham Thorpe,1 August 1969,Left-handed,Right-arm medium,Surrey
ODI World Cup,1996,England,Jack Russell (wk),15 August 1963,Left-handed,Right-arm off-break,Gloucestershire
ODI World Cup,1996,England,Michael Atherton (c),23 March 1968,Right-handed,Right-arm leg-break,Lancashire
ODI World Cup,1996,England,Neil Fairbrother,9 September 1963,Left-handed,Left-arm medium,Lancashire
ODI World Cup,1996,England,Neil Smith,27 July 1967,Right-handed,Right-arm off-break,Warwickshire
ODI World Cup,1996,England,Peter Martin,15 November 1968,Right-handed,Right-arm fast-medium,Lancashire
ODI World Cup,1996,England,Phillip DeFreitas,18 February 1966,Right-handed,Right-arm fast-medium,Lancashire
ODI World Cup,1996,England,Richard Illingworth,23 August 1963,Right-handed,Slow left-arm orthodox,Worcestershire
ODI World Cup,1996,England,Robin Smith,13 September 1963,Right-handed,Right-arm leg-break,Hampshire
ODI World Cup,1996,India,Aashish Kapoor,25 March 1971,Right-handed,Right-arm offbreak,Punjab
ODI World Cup,1996,India,Ajay Jadeja,1 February 1971,Right-handed,Right-arm medium,Haryana
ODI World Cup,1996,India,Anil Kumble,17 October 1970,Right-handed,Right-arm leg spin,Karnataka
ODI World Cup,1996,India,Javagal Srinath,31 August 1969,Right-handed,Right-arm fast,Karnataka
ODI World Cup,1996,India,Manoj Prabhakar,15 April 1963,Right-handed,Right-arm medium pace,Delhi
ODI World Cup,1996,India,Mohammad Azharuddin (c),8 February 1963,Right-handed,Right-arm medium,Hyderabad
ODI World Cup,1996,India,Navjot Singh Sidhu,20 October 1963,Right-handed,Right-arm medium,Punjab
ODI World Cup,1996,India,Nayan Mongia (wk),19 December 1969,Right-handed,Wicket-keeper,Baroda
ODI World Cup,1996,India,Sachin Tendulkar (vc),24 April 1973,Right-handed,Right-arm medium/leg-break/off-break,Mumbai
ODI World Cup,1996,India,Salil Ankola,1 March 1968,Right-handed,Right-arm fast,Mumbai
ODI World Cup,1996,India,Sanjay Manjrekar,12 July 1965,Right-handed,Right-arm off-spin,Mumbai
ODI World Cup,1996,India,Venkatapathy Raju,9 July 1969,Right-handed,Slow left-arm orthodox,Hyderabad
ODI World Cup,1996,India,Venkatesh Prasad,5 August 1969,Right-handed,Right-arm medium-fast,Karnataka
ODI World Cup,1996,India,Vinod Kambli,18 January 1972,Left-handed,Right-arm off-break,Mumbai
ODI World Cup,1996,Kenya,Aasif Karim,15 September 1963,Right-handed,Slow left-arm orthodox,Jaffery Mombasa
ODI World Cup,1996,Kenya,Brijal Patel,14 November 1977,Right-handed,Slow left-arm,Premier Nairobi
ODI World Cup,1996,Kenya,David Tikolo,27 December 1964,Right-handed,Right-arm medium,-
ODI World Cup,1996,Kenya,Dipak Chudasama,20 May 1963,Right-handed,-,-
ODI World Cup,1996,Kenya,Edward Odumbe,19 May 1965,Right-handed,Right-arm medium,-
ODI World Cup,1996,Kenya,Hitesh Modi,13 October 1971,Left-handed,Slow left-arm orthodox,Nairobi Gymkhana Kisumu
ODI World Cup,1996,Kenya,Kennedy Otieno (wk),11 March 1972,Right-handed,Wicket-keeper,Ruaraka Nairobi
ODI World Cup,1996,Kenya,Lameck Onyango,22 September 1973,Right-handed,Right-arm medium,Swamibapa Nairobi
ODI World Cup,1996,Kenya,Martin Suji,2 June 1971,Right-handed,Right-arm medium-fast,Aga Khan Nairobi
ODI World Cup,1996,Kenya,Maurice Odumbe (c),15 June 1969,Right-handed,Right-arm offbreak,Aga Khan Nairobi
ODI World Cup,1996,Kenya,Rajab Ali,19 November 1965,Right-handed,Right-arm medium-fast,-
ODI World Cup,1996,Kenya,Steve Tikolo,25 June 1971,Right-handed,Right-arm offbreak,Swamibapa Nairobi
ODI World Cup,1996,Kenya,Tariq Iqbal (wk),3 April 1964,Right-handed,Wicket-keeper,-
ODI World Cup,1996,Kenya,Thomas Odoyo,12 May 1978,Right-handed,Right-arm medium-fast,Nairobi Gymkhana Kisumu
ODI World Cup,1996,Netherlands,Bas Zuiderent,3 March 1977,Right-handed,Right-arm medium,VOC
ODI World Cup,1996,Netherlands,Eric Gouka,29 January 1970,Right-handed,Right-arm medium,Excelsior'20
ODI World Cup,1996,Netherlands,Flavian Aponso,28 October 1952,Left-handed,Right-arm offbreak,Sebastianites CAC
ODI World Cup,1996,Netherlands,Floris Jansen,10 June 1962,Right-handed,Right-arm medium,SV Kampong
ODI World Cup,1996,Netherlands,Klaas-Jan van Noortwijk,10 July 1970,Right-handed,Right-arm medium,VOC
ODI World Cup,1996,Netherlands,Marcel Schewe (wk),10 March 1969,Right-handed,Wicket-keeper,Excelsior'20
ODI World Cup,1996,Netherlands,Nolan Clarke,22 June 1948,Right-handed,Leg-break googly,Sparta 1888
ODI World Cup,1996,Netherlands,Paul-Jan Bakker,19 September 1957,Right-handed,Right-arm medium-fast,Quick Den Haag
ODI World Cup,1996,Netherlands,Peter Cantrell,28 October 1962,Right-handed,Right-arm offbreak,SV Kampong
ODI World Cup,1996,Netherlands,Reinout Scholte (wk),10 August 1967,Right-handed,Wicket-keeper,HBS
ODI World Cup,1996,Netherlands,Robert van Oosterom,16 October 1968,Right-handed,-,HBS
ODI World Cup,1996,Netherlands,Roland Lefebvre,7 February 1963,Right-handed,Right-arm medium,Glamorgan
ODI World Cup,1996,Netherlands,Steven Lubbers (c),24 March 1953,Right-handed,Right-arm off-break,Hermes DVS
ODI World Cup,1996,Netherlands,Tim de Leede,25 January 1968,Right-handed,Right-arm medium,Voorburg
ODI World Cup,1996,New Zealand,Adam Parore (wk),23 January 1971,Right-handed,Wicket-keeper,Auckland
ODI World Cup,1996,New Zealand,Chris Cairns,13 June 1970,Right-handed,Right-arm fast-medium,Canterbury
ODI World Cup,1996,New Zealand,Chris Harris,20 November 1969,Left-handed,Right-arm medium,Canterbury
ODI World Cup,1996,New Zealand,Craig Spearman,4 July 1972,Right-handed,-,Central Districts
ODI World Cup,1996,New Zealand,Danny Morrison,3 February 1966,Right-handed,Right-arm fast-medium,Auckland
ODI World Cup,1996,New Zealand,Dion Nash,20 November 1971,Right-handed,Right-arm fast-medium,Northern Districts
ODI World Cup,1996,New Zealand,Dipak Patel,25 October 1958,Right-handed,Right-arm off-break,Auckland
ODI World Cup,1996,New Zealand,Gavin Larsen,27 September 1962,Right-handed,Right-arm medium,Wellington
ODI World Cup,1996,New Zealand,"Lee Germon (c, wk)",4 November 1968,Right-handed,Right-arm leg-break/Wicket-keeper,Canterbury
ODI World Cup,1996,New Zealand,Nathan Astle,15 September 1971,Right-handed,Right-arm medium,Canterbury
ODI World Cup,1996,New Zealand,Robert Kennedy,3 June 1972,Right-handed,Right-arm medium,Otago
ODI World Cup,1996,New Zealand,Roger Twose,17 April 1968,Left-handed,Right-arm medium pace,Wellington
ODI World Cup,1996,New Zealand,Shane Thomson,27 January 1969,Right-handed,Right-arm off-break/fast-medium,Northern Districts
ODI World Cup,1996,New Zealand,Stephen Fleming,1 April 1973,Left-handed,Right-arm offbreak,Canterbury
ODI World Cup,1996,Pakistan,Aamer Sohail (vc),14 September 1966,Left-handed,Slow left-arm orthodox,Allied Bank Limited
ODI World Cup,1996,Pakistan,Aaqib Javed,5 August 1972,Right-handed,Right-arm fast-medium,Allied Bank Limited
ODI World Cup,1996,Pakistan,Ata-ur-Rehman,28 March 1975,Right-handed,Right-arm fast-medium,Allied Bank Limited
ODI World Cup,1996,Pakistan,Ijaz Ahmed,20 September 1968,Right-handed,Left-arm medium,Habib Bank
ODI World Cup,1996,Pakistan,Inzamam-ul-Haq,3 March 1970,Right-handed,Slow left-arm orthodox,Faisalabad
ODI World Cup,1996,Pakistan,Javed Miandad,12 June 1957,Right-handed,Right-arm leg-break,Habib Bank
ODI World Cup,1996,Pakistan,Mushtaq Ahmed,28 June 1970,Right-handed,Right-arm leg-break,Multan
ODI World Cup,1996,Pakistan,Rameez Raja,14 August 1962,Right-handed,Right-arm leg-break,Lahore
ODI World Cup,1996,Pakistan,Rashid Latif (wk),14 October 1968,Right-handed,Wicket-keeper/Right-arm leg-break,Karachi
ODI World Cup,1996,Pakistan,Saeed Anwar,6 September 1968,Left-handed,Slow left-arm orthodox,National Bank
ODI World Cup,1996,Pakistan,Saleem Malik,16 April 1963,Right-handed,Right-arm off-break,Lahore
ODI World Cup,1996,Pakistan,Saqlain Mushtaq,29 December 1976,Right-handed,Right-arm off-break,Pakistan International Airlines
ODI World Cup,1996,Pakistan,Waqar Younis,16 November 1971,Right-handed,Right-arm fast,United Bank Limited
ODI World Cup,1996,Pakistan,Wasim Akram (c),3 June 1966,Left-handed,Left-arm fast,PIA
ODI World Cup,1996,South Africa,Allan Donald,20 October 1966,Right-handed,Right-arm fast,Warwickshire
ODI World Cup,1996,South Africa,Andrew Hudson,17 March 1965,Right-handed,Right-arm medium,KwaZulu-Natal
ODI World Cup,1996,South Africa,Brian McMillan,22 December 1963,Right-handed,Right-arm medium-fast,Western Province
ODI World Cup,1996,South Africa,Craig Matthews,15 February 1965,Right-handed,Right-arm fast-medium,Western Province
ODI World Cup,1996,South Africa,Daryl Cullinan,4 March 1967,Right-handed,Right-arm off-break,Transvaal
ODI World Cup,1996,South Africa,Fanie de Villiers,13 October 1964,Right-handed,Right-arm fast-medium,Northern Transvaal
ODI World Cup,1996,South Africa,Gary Kirsten,23 November 1967,Left-handed,Right-arm off-break,Western Province
ODI World Cup,1996,South Africa,Hansie Cronje (c),25 September 1969,Right-handed,Right-arm medium,Free State
ODI World Cup,1996,South Africa,Jacques Kallis,16 October 1975,Right-handed,Right-arm fast-medium,Western Province
ODI World Cup,1996,South Africa,Jonty Rhodes,27 July 1969,Right-handed,Right-arm medium,KwaZulu-Natal
ODI World Cup,1996,South Africa,Pat Symcox,14 April 1960,Right-handed,Right-arm offbreak,KwaZulu-Natal
ODI World Cup,1996,South Africa,Paul Adams,20 January 1977,Right-handed,Left-arm wrist spin,Western Province
ODI World Cup,1996,South Africa,Shaun Pollock,16 July 1973,Right-handed,Right-arm fast-medium,Warwickshire
ODI World Cup,1996,South Africa,Steve Palframan (wk),12 May 1970,Right-handed,Wicket-keeper,Boland
ODI World Cup,1996,Sri Lanka,Aravinda de Silva (vc),17 October 1965,Right-handed,Right-arm off-break,Nondescripts
ODI World Cup,1996,Sri Lanka,Arjuna Ranatunga (c),1 December 1963,Left-handed,Right-arm medium,Sinhalese SC
ODI World Cup,1996,Sri Lanka,Asanka Gurusinha,16 September 1966,Left-handed,Right-arm medium,Nondescripts
ODI World Cup,1996,Sri Lanka,Chaminda Vaas,27 January 1974,Left-handed,Left-arm fast medium,Colts CC
ODI World Cup,1996,Sri Lanka,Hashan Tillakaratne,14 July 1967,Left-handed,-,Nondescripts
ODI World Cup,1996,Sri Lanka,Kumar Dharmasena,24 April 1971,Right-handed,Right-arm offbreak,Bloomfield
ODI World Cup,1996,Sri Lanka,Marvan Atapattu,22 November 1970,Right-handed,Right-arm leg spin,Sinhalese SC
ODI World Cup,1996,Sri Lanka,Muttiah Muralitharan,17 April 1972,Right-handed,Right-arm off-break,Tamil Union
ODI World Cup,1996,Sri Lanka,Pramodya Wickramasinghe,14 August 1971,Right-handed,Right-arm fast,Burgher RC
ODI World Cup,1996,Sri Lanka,Ravindra Pushpakumara,21 July 1975,Right-handed,Right-arm fast-medium,Colts CC
ODI World Cup,1996,Sri Lanka,Romesh Kaluwitharana (wk),24 November 1969,Right-handed,Wicket-keeper/Right-arm medium,Sebastianites
ODI World Cup,1996,Sri Lanka,Roshan Mahanama,31 May 1966,Right-handed,-,Bloomfield
ODI World Cup,1996,Sri Lanka,Sanath Jayasuriya,30 June 1969,Left-handed,Slow left-arm orthodox,Bloomfield
ODI World Cup,1996,Sri Lanka,Upul Chandana,7 May 1972,Right-handed,Right-arm leg-break,Tamil Union C&AC
ODI World Cup,1996,UAE,Arshad Laeeq,28 November 1970,Right-handed,Right-arm fast-medium,-
ODI World Cup,1996,UAE,Azhar Saeed,25 December 1970,Left-handed,Slow left-arm orthodox,-
ODI World Cup,1996,UAE,Ganesh Mylvaganam,1 August 1966,Right-handed,-,-
ODI World Cup,1996,UAE,Imtiaz Abbasi (wk),9 June 1968,Right-handed,Wicket-keeper,-
ODI World Cup,1996,UAE,Johanne Samarasekera,22 February 1968,Right-handed,Right-arm medium-fast,-
ODI World Cup,1996,UAE,Mazhar Hussain,25 October 1967,Right-handed,Right-arm leg-break,-
ODI World Cup,1996,UAE,Mohammad Aslam,7 September 1961,Right-handed,Right-arm fast,-
ODI World Cup,1996,UAE,Mohammad Ishaq,7 March 1963,Right-handed,Right-arm medium,-
ODI World Cup,1996,UAE,Saeed-Al-Saffar,31 July 1968,Left-handed,Left-arm fast-medium,-
ODI World Cup,1996,UAE,Saleem Raza,5 July 1964,Right-handed,Right-arm offbreak,-
ODI World Cup,1996,UAE,Shaukat Dukanwala,21 January 1957,Right-handed,Right-arm offbreak,-
ODI World Cup,1996,UAE,Shehzad Altaf,6 October 1957,Right-handed,Right-arm medium,-
ODI World Cup,1996,UAE,Sultan Zarawani (c),24 January 1961,Right-handed,Right-arm leg spin,-
ODI World Cup,1996,UAE,Vijay Mehra,17 October 1963,Right-handed,-,-
ODI World Cup,1996,West Indies,Brian Lara,2 May 1969,Left-handed,Right-arm leg-break,Trinidad and Tobago
ODI World Cup,1996,West Indies,Cameron Cuffy,8 February 1970,Right-handed,Right-arm fast,Windward Islands
ODI World Cup,1996,West Indies,Courtney Browne (wk),7 December 1970,Right-handed,Wicket-keeper,Barbados
ODI World Cup,1996,West Indies,Courtney Walsh,30 October 1962,Right-handed,Right-arm medium fast,Jamaica
ODI World Cup,1996,West Indies,Curtly Ambrose,21 September 1963,Left-handed,Right-arm fast,Leeward Islands
ODI World Cup,1996,West Indies,Ian Bishop,24 October 1967,Right-handed,Right-arm fast,Trinidad and Tobago
ODI World Cup,1996,West Indies,Jimmy Adams,9 January 1968,Left-handed,Slow left-arm orthodox,Jamaica
ODI World Cup,1996,West Indies,Keith Arthurton,21 February 1965,Left-handed,Slow left-arm orthodox/leg-break,Leeward Islands
ODI World Cup,1996,West Indies,Ottis Gibson,16 March 1969,Right-handed,Right-arm fast,Barbados
ODI World Cup,1996,West Indies,Phil Simmons,18 April 1963,Right-handed,Right-arm medium,Trinidad and Tobago
ODI World Cup,1996,West Indies,Richie Richardson (c),12 January 1962,Right-handed,Right-arm medium-pace,Leeward Islands
ODI World Cup,1996,West Indies,Roger Harper,17 March 1963,Right-handed,Right-arm off-break,Guyana
ODI World Cup,1996,West Indies,Roland Holder,22 December 1967,Right-handed,Right-arm medium pace,Barbados
ODI World Cup,1996,West Indies,Sherwin Campbell,1 January 1970,Right-handed,Right-arm medium pace,Barbados
ODI World Cup,1996,West Indies,Shivnarine Chanderpaul,16 August 1974,Left-handed,Right-arm leg-break,Guyana
ODI World Cup,1996,Zimbabwe,Alistair Campbell,23 September 1972,Left-handed,Right-arm off-break,Manicaland
ODI World Cup,1996,Zimbabwe,"Andy Flower (c, wk)",28 April 1968,Left-handed,Wicket-keeper/Right-arm off-break,Mashonaland
ODI World Cup,1996,Zimbabwe,Andy Waller,25 September 1959,Right-handed,Right-arm medium,Mashonaland
ODI World Cup,1996,Zimbabwe,Bryan Strang,9 June 1972,Right-handed,Left-arm medium,Mashonaland
ODI World Cup,1996,Zimbabwe,Charlie Lock,10 September 1962,Right-handed,Right-arm fast-medium,Mashonaland
ODI World Cup,1996,Zimbabwe,Craig Evans,29 November 1969,Right-handed,Right-arm medium,Matabeleland
ODI World Cup,1996,Zimbabwe,Eddo Brandes,5 March 1963,Right-handed,Right-arm fast,Mashonaland
ODI World Cup,1996,Zimbabwe,Grant Flower,20 December 1970,Right-handed,Slow left-arm orthodox,Mashonaland
ODI World Cup,1996,Zimbabwe,Guy Whittall,5 September 1972,Right-handed,Right-arm medium,Mashonaland
ODI World Cup,1996,Zimbabwe,Heath Streak,16 March 1974,Right-handed,Right-arm fast-medium,Matabeleland
ODI World Cup,1996,Zimbabwe,Henry Olonga,3 July 1976,Right-handed,Right-arm fast,Matabeleland
ODI World Cup,1996,Zimbabwe,Paul Strang,28 July 1970,Right-handed,Right-arm leg-break,Mashonaland
ODI World Cup,1996,Zimbabwe,Sean Davies,15 October 1973,Left-handed,Right-arm medium-fast,Mashonaland
ODI World Cup,1996,Zimbabwe,Stephen Peall,2 September 1969,Left-handed,Right-arm offbreak,Mashonaland
ODI World Cup,1999,Australia,Adam Dale,30 December 1968,Left-handed,Right-arm medium,Queensland
ODI World Cup,1999,Australia,Adam Gilchrist (wk),14 November 1971,Left-handed,Right-arm off break,Western Australia
ODI World Cup,1999,Australia,Brendon Julian,10 August 1970,Right-handed,Left-arm fast medium,Western Australia
